time,open,high,low,close,K,D
2016-11-10T09:30:00-05:00,20.55,20.65,20.174,20.4395,100,86.75248456784463
2016-11-11T09:30:00-05:00,20.3611,20.3611,20.3611,20.3611,98.26264474249406,97.87449499774385
2016-11-14T09:30:00-05:00,20.68,20.68,20.658,20.6795,98.26264474249406,98.8417631616627
2016-11-15T09:30:00-05:00,20.5952,20.5952,20.5952,20.5952,96.49578214695474,97.67369054398095
2016-11-17T09:30:00-05:00,20.5,20.7345,20.5,20.72,98.23313740446069,97.6638547646365
2016-11-18T09:30:00-05:00,20.6,20.6501,20.6,20.65,96.66030567591234,97.12974174244259
2016-11-21T09:30:00-05:00,20.82,20.88,20.82,20.88,98.42716827145166,97.7735371172749
2016-11-22T09:30:00-05:00,21.07,21.07,20.9311,20.9311,98.42716827145166,97.83821407293856
2016-11-23T09:30:00-05:00,20.83,20.83,20.83,20.83,97.66130423235747,98.17188025842025
2016-11-25T09:30:00-05:00,20.85,20.96,20.84,20.95,97.36958827645226,97.81935359342044
2016-11-28T09:30:00-05:00,20.86,20.86,20.86,20.86,92.92685405369734,95.98591552083569
2016-11-29T09:30:00-05:00,20.64,20.64,20.36,20.36,67.46936284779308,85.92193505931421
2016-11-30T09:30:00-05:00,20.3,20.35,20.11,20.11,34.427745470364954,64.94132079061845
2016-12-01T09:30:00-05:00,19.64,19.64,19.64,19.64,5.537146359786566,35.81141822598152
2016-12-02T09:30:00-05:00,19.795,19.795,19.795,19.795,4.72803874804059,14.897643526064021
2016-12-05T09:30:00-05:00,20.1601,20.21,20.1601,20.1978,20.378308261279127,10.214497789702094
2016-12-06T09:30:00-05:00,20.0869,20.2099,20.0799,20.175,35.525774456785136,20.210707155368283
2016-12-07T09:30:00-05:00,20.03,20.08,19.94,20.08,43.78208203382058,33.228721583961615
2016-12-08T09:30:00-05:00,20.2184,20.3256,20.2184,20.3256,47.69761350323717,42.335156664614296
2016-12-09T09:30:00-05:00,20.4299,20.4299,20.3999,20.3999,54.02277818178138,48.500824572946385
2016-12-12T09:30:00-05:00,20.43,20.43,20.399,20.399,62.48606555325038,54.735485746089644
2016-12-13T09:30:00-05:00,20.56,20.56,20.5344,20.55,68.78865415465705,61.76583262989627
2016-12-14T09:30:00-05:00,20.45,20.45,20.4107,20.4107,68.92370210137979,66.7328072697624
2016-12-15T09:30:00-05:00,20.7492,20.7813,20.7492,20.7813,80.80940173816812,72.84058599806832
2016-12-16T09:30:00-05:00,20.9,20.99,20.7788,20.83,88.27434548743963,79.33581644232918
2016-12-19T09:30:00-05:00,20.83,20.9,20.83,20.89,99.99999999999999,89.69458240853591
2016-12-20T09:30:00-05:00,20.8101,20.8275,20.8101,20.8275,97.75835956185841,95.34423501643268
2016-12-21T09:30:00-05:00,20.66,20.66,20.5,20.5,82.72831775551923,93.49555910579255
2016-12-22T09:30:00-05:00,20.4,20.4,20.22,20.22,49.3949844221859,76.62722057985451
2016-12-23T09:30:00-05:00,20.3267,20.3267,20.3101,20.3101,22.852201131249714,51.65850110298495
2016-12-27T09:30:00-05:00,20.36,20.715,20.34,20.715,27.122457306498557,33.123214286644725
2016-12-28T09:30:00-05:00,20.48,20.48,20.2895,20.2895,31.829017655959046,27.267892031235778
2016-12-29T09:30:00-05:00,20.19,20.19,20.19,20.19,28.276718712224508,29.076064558227372
2016-12-30T09:30:00-05:00,20.0632,20.07,20.036,20.05,5.703171009981536,21.93630245938836
2017-01-03T09:30:00-05:00,20.4575,20.4575,20.435,20.4366,16.009163702984928,16.66301780839699
2017-01-04T09:30:00-05:00,20.7548,21.36,20.7548,21.3599,48.345886375797214,23.352740362921228
2017-01-05T09:30:00-05:00,21.1,21.15,21.05,21.15,75.60139205866457,46.65214737914891
2017-01-06T09:30:00-05:00,21.37,21.41,21.32,21.365,91.93763101155844,71.96163648200674
2017-01-09T09:30:00-05:00,21.5,21.68,21.5,21.645,91.93763101155844,86.49221802726049
2017-01-10T09:30:00-05:00,21.87,21.95,21.83,21.95,98.01545866202441,93.96357356171376
2017-01-11T09:30:00-05:00,21.9,21.95,21.6483,21.78,95.64997340472371,95.20102102610218
2017-01-12T09:30:00-05:00,21.55,21.83,21.46,21.83,92.01564526125424,95.22702577600079
2017-01-13T09:30:00-05:00,22.0108,22.0806,21.98,22.06,91.63307690171534,93.0995651892311
2017-01-17T09:30:00-05:00,21.74,21.7999,21.72,21.72,86.65775362338309,90.10215859545087
2017-01-18T09:30:00-05:00,21.87,21.87,21.6874,21.8,82.25898718569705,86.8499392369318
2017-01-19T09:30:00-05:00,21.95,21.965,21.76,21.83,75.11260108369396,81.34311396425802
2017-01-20T09:30:00-05:00,22.04,22.04,21.81,21.8485,77.23838656594319,78.20332494511139
2017-01-23T09:30:00-05:00,21.95,21.99,21.7606,21.8981,76.27895322472013,76.20998029145241
2017-01-24T09:30:00-05:00,21.8798,22.06,21.8632,22.06,74.1879639077695,75.90176789947759
2017-01-25T09:30:00-05:00,22.22,22.3,22.21,22.2446,81.29020656300298,77.2523745651642
2017-01-26T09:30:00-05:00,22.325,22.336,22.1,22.1099,73.46701786136761,76.31506277738002
2017-01-27T09:30:00-05:00,22.1499,22.18,22.085,22.1754,70.79603778882132,75.18442073773063
